naselje_maticni_broj,naselje_ime,opstina_ime,pop,stage
700452,ПУХОВАЦ,АЛЕКСАНДРОВАЦ,417,1
700479,РАКЉА,АЛЕКСАНДРОВАЦ,647,1
700487,РЖАНИЦА,АЛЕКСАНДРОВАЦ,194,1
700495,РОГАВЧИНА,АЛЕКСАНДРОВАЦ,66,1
700509,РОКЦИ,АЛЕКСАНДРОВАЦ,64,1
700517,РУДЕНИЦЕ,АЛЕКСАНДРОВАЦ,128,1
700525,СТАЊЕВО,АЛЕКСАНДРОВАЦ,1071,1
702200,ЉУБЕРАЂА,БАБУШНИЦА,102,1
702218,МАЛО БОЊИНЦЕ,БАБУШНИЦА,27,1
704610,ВУКИЋЕВИЦА,ОБРЕНОВАЦ,502,1
704628,ГРАБОВАЦ,ОБРЕНОВАЦ,2040,1
704636,ДРАЖЕВАЦ,ОБРЕНОВАЦ,1056,1
726567,ДОЊА ЉУБОВИЂА,ЉУБОВИЈА,742,1
726575,ДОЊА ОРОВИЦА,ЉУБОВИЈА,201,1
726583,ДРЛАЧЕ,ЉУБОВИЈА,237,1
726591,ДУБОКО,ЉУБОВИЈА,436,1
726605,ЛЕОВИЋ,ЉУБОВИЈА,107,1
715000,ВУКОВАЦ,ЖАГУБИЦА,265,1
715018,ЖАГУБИЦА,ЖАГУБИЦА,2110,1
714941,СИБНИЦА,ЖАБАРИ,284,1
714950,СИМИЋЕВО,ЖАБАРИ,933,1
714968,ТИЋЕВАЦ,ЖАБАРИ,161,1
714976,ЧЕТЕРЕЖЕ,ЖАБАРИ,493,1
714984,БЛИЗНАК,ЖАГУБИЦА,229,1
700045,БОБОТЕ,АЛЕКСАНДРОВАЦ,252,1
734080,ЗАБРЊИЦА,ПРИБОЈ,174,1
803316,ШИМАНОВЦИ,ПЕЋИНЦИ,3073,1
704032,ДУДОВИЦА,ЛАЗАРЕВАЦ,624,1
725811,ВУЧКОВИЦА,ЛУЧАНИ,241,1
725820,ГОРАЧИЋИ,ЛУЧАНИ,878,1
725838,ГОРЊА КРАВАРИЦА,ЛУЧАНИ,242,1
725846,ГОРЊИ ДУБАЦ,ЛУЧАНИ,121,1
725854,ГРАБ,ЛУЧАНИ,181,1
725862,ГУБЕРЕВЦИ,ЛУЧАНИ,445,1
705519,ПРЕТРЕШЊА,БЛАЦЕ,71,1
705527,ПРИДВОРИЦА,БЛАЦЕ,72,1
705535,РАШИЦА,БЛАЦЕ,78,1
803707,СЕНТА,СЕНТА,14452,1
705454,МУЗАЋЕ,БЛАЦЕ,70,1
705462,ПОПОВА,БЛАЦЕ,104,1
732486,НОВИ ЗАВОЈ,ПИРОТ,1200,1
732494,ОБРЕНОВАЦ,ПИРОТ,73,1
732508,ОРЕОВИЦА,ПИРОТ,33,1
732516,ОРЉА,ПИРОТ,9,1
732524,ОСМАКОВА,ПИРОТ,61,1
732532,ПАКЛЕШТИЦА,ПИРОТ,20,1
732559,ПАСЈАЧ,ПИРОТ,11,1
732567,ПЕТРОВАЦ,ПИРОТ,163,1
732575,ПИРОТ,ПИРОТ,34942,1
732583,ПЛАНИНИЦА,ПИРОТ,4,1
732591,ПОКРЕВЕНИК,ПИРОТ,32,1
732605,ПОЉСКА РЖАНА,ПИРОТ,1181,1
732613,ПОНОР,ПИРОТ,204,1
732621,ПРИСЈАН,ПИРОТ,27,1
732630,РАГОДЕШ,ПИРОТ,50,1
732648,РАСНИЦА,ПИРОТ,262,1
732656,РОСОМАЧ,ПИРОТ,19,1
732664,РСОВЦИ,ПИРОТ,72,1
732672,РУДИЊЕ,ПИРОТ,70,1
732788,ТРЊАНА,ПИРОТ,97,1
800058,УТРИНЕ,АДА,691,1
745863,ОСТРА,ЧАЧАК,704,1
745871,ПАКОВРАЋЕ,ЧАЧАК,433,1
738654,СВИЛАЈНАЦ,СВИЛАЈНАЦ,8593,1
741752,НИКОЈЕВИЋИ,УЖИЦЕ,285,1
732320,ИЗВОР,ПИРОТ,607,1
727911,ЈОВАНОВАЦ,МЕРОШИНА,415,1
727920,ЈУГ БОГДАНОВАЦ,МЕРОШИНА,421,1
711586,ИЗУМНО,ВРАЊСКА БАЊА,288,2
800023,МОЛ,АДА,4858,1
745294,ЗЛАТИБОР,ЧАЈЕТИНА,3702,1
745308,РАКОВИЦА,ЧАЈЕТИНА,43,1
745316,РОЖАНСТВО,ЧАЈЕТИНА,318,1
745324,РУДИНЕ,ЧАЈЕТИНА,128,1
700177,ГОРЊЕ РАТАЈЕ,АЛЕКСАНДРОВАЦ,568,1
