okrug,zgrada,num_floors,height,subtype,class,roof_shape
0,885435,2.89,0.07,24.35,24.29,0.53
1,183280,0.2,0.06,4.36,4.3,0.0
10,193590,0.15,0.01,1.65,1.62,0.01
11,348223,0.12,0.0,2.33,2.28,0.01
12,426715,0.18,0.03,3.16,3.12,0.01
13,327961,0.04,0.01,2.53,2.5,0.0
14,251194,1.39,0.39,12.5,12.4,0.41
15,298476,0.3,0.16,9.36,9.29,0.05
16,480774,1.55,0.26,7.44,7.38,1.69
17,426235,0.12,0.0,2.45,2.42,0.07
18,440675,0.05,0.01,1.94,1.88,0.01
19,336735,0.16,0.0,4.27,4.24,0.03
2,284273,0.13,0.02,9.18,9.14,0.12
20,392655,0.26,0.01,4.59,4.52,0.54
21,234414,0.3,0.0,14.43,14.39,0.28
22,149526,0.26,0.0,1.3,1.22,1.4
23,252925,0.07,0.01,1.43,1.4,0.0
24,135567,0.14,0.02,2.94,2.84,0.0
3,222550,0.22,0.05,4.17,4.13,0.06
4,485945,4.05,0.05,23.68,23.59,0.5
5,202697,0.16,0.0,6.48,6.43,0.04
6,499353,0.44,0.01,9.78,9.68,0.03
7,685157,0.26,0.06,8.38,8.33,0.12
8,585881,0.11,0.0,1.88,1.83,0.02
9,382978,0.14,0.0,4.35,4.31,0.03
UKUPNO,9113214,0.76,0.05,8.16,8.11,0.26
